epoch,time,train/loss_bbox,train/loss_ce,train/loss_giou,metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(B),metrics/recall(B),val/loss_bbox,val/loss_ce,val/loss_giou,lr/pg0,lr/pg1
1,3.59188,2.01513,1.78073,1.57063,0.0120182,0.00424139,0.0120182,0.182,0.361271,1.36202,0.973781,0.0001,1e-05
2,6.66653,0.287121,1.08013,0.902573,0.0114577,0.00431186,0.0114577,0.234,0.163635,0.818608,0.606963,0.0001,1e-05
3,9.6744,0.181228,0.676707,0.574279,0.0405875,0.0162404,0.0405875,0.196,0.182453,0.472982,0.623077,0.0001,1e-05
4,12.9318,0.212263,0.424761,0.610318,0.0525371,0.0212326,0.0525371,0.284,0.136497,0.378505,0.466593,0.0001,1e-05
5,16.284,0.174397,0.365617,0.516856,0.0570427,0.019321,0.0570427,0.256,0.162314,0.343465,0.530848,0.0001,1e-05
6,19.4097,0.119765,0.334337,0.398458,0.0697414,0.0251788,0.0697414,0.32,0.116942,0.316635,0.399961,0.0001,1e-05
7,22.673,0.116929,0.315031,0.389174,0.0987239,0.0482766,0.0987239,0.348,0.0966546,0.300047,0.31959,0.0001,1e-05
8,25.7489,0.113809,0.287847,0.383458,0.0941731,0.029744,0.0941731,0.312,0.135448,0.29032,0.452017,0.0001,1e-05
9,28.9136,0.115676,0.278346,0.393835,0.090988,0.0379617,0.090988,0.328,0.111911,0.282983,0.401585,0.0001,1e-05
10,32.1406,0.165764,0.273047,0.412911,0.061844,0.033641,0.061844,0.364,0.0991708,0.27801,0.390982,0.0001,1e-05
11,35.4248,0.0787928,0.271247,0.298589,0.0538721,0.0369553,0.0538721,0.41,0.0666491,0.276749,0.2712,0.0001,1e-05
12,38.591,0.0742539,0.27531,0.273311,0.037271,0.0184495,0.037271,0.388,0.0609815,0.282632,0.247989,0.0001,1e-05
13,41.7037,0.0601905,0.286201,0.224212,0.0385747,0.0184431,0.0385747,0.39,0.05447,0.284286,0.235086,0.0001,1e-05
14,44.7831,0.0614928,0.278197,0.239474,0.0372392,0.0146929,0.0372392,0.39,0.0648523,0.272956,0.247075,0.0001,1e-05
15,48.0166,0.0618286,0.270977,0.23701,0.0336152,0.0114216,0.0336152,0.278,0.104882,0.272953,0.368965,0.0001,1e-05
16,51.1182,0.0761361,0.267218,0.299341,0.0339904,0.010614,0.0339904,0.284,0.101605,0.26907,0.38409,0.0001,1e-05
17,54.286,0.0811727,0.265603,0.28997,0.0372125,0.0164515,0.0372125,0.376,0.0607288,0.265333,0.243497,0.0001,1e-05
18,57.7044,0.0683373,0.262203,0.222793,0.0275434,0.01348,0.0275434,0.372,0.0595192,0.260485,0.246278,0.0001,1e-05
19,61.0186,0.114779,0.257987,0.294007,0.0291563,0.0118936,0.0291563,0.38625,0.0673408,0.254159,0.253442,0.0001,1e-05
20,64.2625,0.0605576,0.254975,0.234297,0.0295053,0.012945,0.0295053,0.459875,0.067752,0.251248,0.279204,0.0001,1e-05
21,67.4696,0.0696674,0.248016,0.261437,0.0424721,0.0182718,0.0424721,0.571125,0.0488994,0.246722,0.197085,0.0001,1e-05
22,70.7082,0.0528097,0.248587,0.203578,0.0414589,0.0268119,0.0414589,0.67925,0.0562737,0.250249,0.222106,0.0001,1e-05
23,74.0402,0.049743,0.250688,0.202375,0.0531937,0.0339333,0.0531937,0.754375,0.0436496,0.247027,0.186378,0.0001,1e-05
24,77.3315,0.0562729,0.239657,0.214201,0.0899314,0.0407757,0.0899314,0.748125,0.0541344,0.244855,0.226075,0.0001,1e-05
25,80.6534,0.063728,0.24435,0.248332,0.0619881,0.028872,0.0619881,0.725,0.0564617,0.244415,0.235318,0.0001,1e-05
26,83.7867,0.0686944,0.245465,0.223082,0.0563711,0.0304432,0.0563711,0.72,0.0507644,0.245038,0.222982,0.0001,1e-05
27,87.0179,0.066865,0.24141,0.270693,0.0517284,0.0329543,0.0517284,0.723375,0.059028,0.242985,0.234279,0.0001,1e-05
28,90.265,0.0629003,0.245276,0.246812,0.0474625,0.0239431,0.0474625,0.649625,0.0677832,0.241515,0.275187,0.0001,1e-05
29,93.3478,0.0612734,0.246185,0.244117,0.0471465,0.0277264,0.0471465,0.680875,0.0731606,0.24031,0.273638,0.0001,1e-05
30,96.5241,0.0518802,0.242843,0.204279,0.0442301,0.026788,0.0442301,0.72075,0.0621271,0.240668,0.231793,0.0001,1e-05
31,99.8608,0.0589126,0.24197,0.219943,0.0436905,0.0243304,0.0436905,0.7615,0.0492932,0.236001,0.211394,0.0001,1e-05
32,103.063,0.0545575,0.239422,0.235888,0.0489312,0.028694,0.0489312,0.7445,0.0491826,0.235174,0.208238,0.0001,1e-05
33,106.346,0.0556008,0.237936,0.222153,0.0537837,0.0434525,0.0537837,0.786375,0.0436845,0.236651,0.187563,0.0001,1e-05
34,109.509,0.0832263,0.237443,0.255323,0.0699611,0.0471992,0.0699611,0.780375,0.0388576,0.237457,0.187648,0.0001,1e-05
35,112.671,0.0515105,0.239375,0.193982,0.0713226,0.0490294,0.0713226,0.798875,0.0404216,0.234103,0.165615,0.0001,1e-05
36,115.992,0.0581299,0.239914,0.19194,0.072461,0.0457023,0.072461,0.738,0.0507207,0.232474,0.2135,0.0001,1e-05
37,119.175,0.0511024,0.23189,0.194469,0.0714954,0.0475352,0.0714954,0.759875,0.047783,0.230686,0.190679,0.0001,1e-05
38,122.492,0.0428736,0.229244,0.175977,0.0755858,0.0426962,0.0755858,0.747625,0.0537478,0.227655,0.212843,0.0001,1e-05
39,125.634,0.0539555,0.229316,0.203976,0.0630973,0.0372738,0.0630973,0.691,0.0627956,0.226354,0.254975,0.0001,1e-05
40,128.95,0.050342,0.231658,0.191309,0.0684929,0.0389805,0.0684929,0.727375,0.0509229,0.222723,0.221018,0.0001,1e-05
41,132.152,0.053007,0.226944,0.220954,0.0574278,0.0335139,0.0574278,0.660625,0.0610668,0.22259,0.276765,0.0001,1e-05
42,135.399,0.0452569,0.222217,0.177266,0.0572571,0.0379302,0.0572571,0.73225,0.0431528,0.223752,0.212442,0.0001,1e-05
43,138.485,0.0588228,0.227242,0.211954,0.0540052,0.0332976,0.0540052,0.646875,0.0657726,0.223853,0.294246,0.0001,1e-05
44,141.816,0.0578929,0.227577,0.227714,0.0503069,0.0337715,0.0503069,0.650625,0.0612897,0.222899,0.284173,0.0001,1e-05
45,145.063,0.051177,0.227002,0.218494,0.0499894,0.0387209,0.0499894,0.798,0.0417578,0.218286,0.187473,0.0001,1e-05
46,148.521,0.0551771,0.220817,0.211541,0.0493854,0.0355067,0.0493854,0.789125,0.0430472,0.220221,0.179655,0.0001,1e-05
47,151.618,0.0531748,0.224297,0.193365,0.0482089,0.0281856,0.0482089,0.629375,0.0678208,0.219707,0.315686,0.0001,1e-05
48,154.693,0.0595481,0.226868,0.259502,0.052254,0.0347842,0.052254,0.772375,0.0481804,0.219671,0.19396,0.0001,1e-05
49,157.988,0.0439234,0.22587,0.171308,0.0536105,0.0367546,0.0536105,0.813625,0.0422316,0.217436,0.177664,0.0001,1e-05
50,161.221,0.0481842,0.221519,0.170028,0.0539061,0.0376198,0.0539061,0.83175,0.0421095,0.220062,0.182786,0.0001,1e-05
51,164.47,0.0482433,0.224956,0.189314,0.0653038,0.0335757,0.0653038,0.7075,0.0585365,0.222587,0.240635,0.0001,1e-05
52,167.732,0.0540708,0.222732,0.220471,0.0685184,0.0381764,0.0685184,0.8045,0.041782,0.223728,0.182254,0.0001,1e-05
53,170.952,0.0469907,0.223549,0.203444,0.0796339,0.0496243,0.0796339,0.832875,0.0419816,0.222434,0.173534,0.0001,1e-05
54,174.239,0.0486711,0.22451,0.17717,0.0803075,0.0466289,0.0803075,0.796375,0.0445916,0.222948,0.180696,0.0001,1e-05
55,177.572,0.0381785,0.217796,0.161318,0.0630075,0.0371935,0.0630075,0.811875,0.046475,0.222032,0.199,0.0001,1e-05
56,180.845,0.0492615,0.223638,0.20581,0.0702269,0.0382646,0.0702269,0.752625,0.0573088,0.218279,0.237945,0.0001,1e-05
57,184.146,0.0532298,0.223782,0.227437,0.0933001,0.0494094,0.0933001,0.74875,0.0555211,0.217856,0.239116,0.0001,1e-05
58,187.307,0.0467283,0.214834,0.18152,0.0597116,0.0424614,0.0597116,0.85225,0.0358169,0.218272,0.150701,0.0001,1e-05
59,190.515,0.0451381,0.222032,0.173871,0.0574184,0.0447328,0.0574184,0.8045,0.0377091,0.218693,0.172193,0.0001,1e-05
60,193.694,0.0469245,0.214273,0.191669,0.0595834,0.044291,0.0595834,0.78175,0.0468951,0.216822,0.204261,0.0001,1e-05
61,196.825,0.0452658,0.222451,0.178489,0.0562493,0.0418436,0.0562493,0.80675,0.0407277,0.216159,0.191513,0.0001,1e-05
62,200.221,0.0416901,0.223606,0.177116,0.0538122,0.0336025,0.0538122,0.775625,0.0426572,0.218219,0.210064,0.0001,1e-05
63,203.439,0.0501629,0.219754,0.210404,0.0558874,0.0276674,0.0558874,0.719125,0.0557212,0.217901,0.264709,0.0001,1e-05
64,206.869,0.0540366,0.222112,0.232397,0.0617386,0.0407303,0.0617386,0.793625,0.0521463,0.216624,0.20425,0.0001,1e-05
65,209.955,0.0435773,0.220958,0.176053,0.0589484,0.0460569,0.0589484,0.823,0.0436938,0.212734,0.180017,0.0001,1e-05
66,213.143,0.0357088,0.210307,0.138575,0.0823889,0.0510615,0.0823889,0.832875,0.0516949,0.211765,0.192375,0.0001,1e-05
67,216.494,0.140879,0.220298,0.255607,0.088299,0.0564828,0.088299,0.741625,0.0580903,0.212244,0.246855,0.0001,1e-05
68,219.653,0.0477665,0.214085,0.190732,0.0767681,0.0485256,0.0767681,0.82225,0.0565157,0.209389,0.204016,0.0001,1e-05
69,222.908,0.0545354,0.214051,0.22771,0.0851177,0.0475992,0.0851177,0.822625,0.0460008,0.206004,0.207375,0.0001,1e-05
70,226.046,0.0486277,0.20565,0.209262,0.0984603,0.0578339,0.0984603,0.81,0.0439487,0.203587,0.227396,0.0001,1e-05
71,229.343,0.0560443,0.211486,0.231161,0.1206,0.0852424,0.1206,0.83925,0.0412895,0.19978,0.174492,0.0001,1e-05
72,232.684,0.0640947,0.208384,0.256059,0.116013,0.0740518,0.116013,0.78675,0.0633539,0.202304,0.257103,0.0001,1e-05
73,235.894,0.0499172,0.204904,0.19749,0.112386,0.0650622,0.112386,0.812,0.0597457,0.202868,0.235117,0.0001,1e-05
74,239.1,0.0476386,0.209737,0.189371,0.129417,0.0716698,0.129417,0.80025,0.0497873,0.200036,0.216001,0.0001,1e-05
75,242.412,0.0591067,0.205822,0.226162,0.118383,0.0735829,0.118383,0.80075,0.0494246,0.201203,0.210832,0.0001,1e-05
76,245.586,0.0480194,0.200527,0.190903,0.166137,0.086293,0.166137,0.87275,0.0373949,0.200833,0.156975,0.0001,1e-05
77,248.912,0.121537,0.206299,0.251619,0.159377,0.0918626,0.159377,0.757875,0.0580796,0.20236,0.244023,0.0001,1e-05
78,252.109,0.11414,0.205426,0.26022,0.139962,0.0947929,0.139962,0.875875,0.0349684,0.201566,0.148004,0.0001,1e-05
79,255.301,0.0916993,0.205639,0.245702,0.139505,0.0923164,0.139505,0.878125,0.0399892,0.201606,0.161991,0.0001,1e-05
80,258.531,0.0361316,0.208381,0.152678,0.148829,0.106185,0.148829,0.857625,0.0407273,0.199288,0.167421,0.0001,1e-05
