epoch,time,train/loss_bbox,train/loss_ce,train/loss_giou,metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(B),metrics/recall(B),val/loss_bbox,val/loss_ce,val/loss_giou,lr/pg0,lr/pg1
1,3.60897,2.00899,1.7817,1.57453,0.0145182,0.00515229,0.0145182,0.194,0.333592,1.27913,0.968291,0.0001,1e-05
2,6.58969,0.290959,0.970102,0.89065,0.0344493,0.0116853,0.0344493,0.224,0.174275,0.706073,0.633346,0.0001,1e-05
3,9.46623,0.179234,0.6107,0.582475,0.0230282,0.0120519,0.0230282,0.206,0.145639,0.477775,0.551823,0.0001,1e-05
4,12.6162,0.184157,0.424056,0.571687,0.0252571,0.0147242,0.0252571,0.246,0.169934,0.383446,0.57612,0.0001,1e-05
5,15.8355,0.161902,0.374257,0.507049,0.0501958,0.0249685,0.0501958,0.296,0.137974,0.350269,0.472829,0.0001,1e-05
6,18.8645,0.143104,0.336885,0.46554,0.0857532,0.0261294,0.0857532,0.298,0.129017,0.337977,0.44016,0.0001,1e-05
7,22.0607,0.129475,0.326629,0.454783,0.053655,0.0184265,0.053655,0.326,0.115659,0.323882,0.425208,0.0001,1e-05
8,25.065,0.104846,0.306057,0.364102,0.0719498,0.0267086,0.0719498,0.348,0.10563,0.29525,0.406511,0.0001,1e-05
9,28.0795,0.103081,0.291952,0.395143,0.0353347,0.0148387,0.0353347,0.342,0.103014,0.294577,0.403763,0.0001,1e-05
10,31.1644,0.139411,0.282658,0.416511,0.0534651,0.0215726,0.0534651,0.386,0.071691,0.282524,0.29695,0.0001,1e-05
11,34.3784,0.135046,0.271415,0.441123,0.0524911,0.0294619,0.0524911,0.26,0.183948,0.268111,0.584245,0.0001,1e-05
12,37.4229,0.115459,0.258304,0.407251,0.0452046,0.0195279,0.0452046,0.358,0.105876,0.257305,0.394057,0.0001,1e-05
13,40.5112,0.0838126,0.24939,0.29016,0.0386893,0.0214008,0.0386893,0.404,0.0751131,0.252427,0.274544,0.0001,1e-05
14,43.5148,0.0751806,0.246181,0.274746,0.0258438,0.0163786,0.0258438,0.372,0.076502,0.24788,0.299452,0.0001,1e-05
15,46.6766,0.0700947,0.254569,0.275559,0.0266763,0.0132113,0.0266763,0.338,0.078851,0.259092,0.301299,0.0001,1e-05
16,49.6977,0.076784,0.255335,0.286667,0.0379274,0.0272888,0.0379274,0.35,0.0742107,0.254542,0.285048,0.0001,1e-05
17,52.8009,0.0788564,0.257179,0.310525,0.0394374,0.023856,0.0394374,0.342,0.0768888,0.256618,0.298501,0.0001,1e-05
18,56.1018,0.0761328,0.255868,0.264379,0.0431036,0.0242536,0.0431036,0.355375,0.0748276,0.256327,0.29379,0.0001,1e-05
